,0
5s log(σ²) (dim 0),-5.257136363286923
5s log(σ²) (dim 1),-5.3638933139519835
5s log(σ²) (dim 2),-5.298279879945817
30s log(σ²) (dim 0),-5.22188371541303
30s log(σ²) (dim 1),-5.175346514387145
30s log(σ²) (dim 2),-5.14299635560643
log(Γ),-7.1087731770647435
log(J),-3.78216089524709
5s log(Γ) (dim 0),-7.1087731770647435
5s log(J) (dim 0),-3.78216089524709
30s log(Γ) (dim 0),-7.1087731770647435
30s log(J) (dim 0),-3.78216089524709
