,0
5s log(σ²) (dim 0),-5.533985879672263
5s log(σ²) (dim 1),-5.718906921700174
5s log(σ²) (dim 2),-5.514068751987052
30s log(σ²) (dim 0),-5.519498361032577
30s log(σ²) (dim 1),-5.565384003237457
30s log(σ²) (dim 2),-5.534004233808936
log(Γ),-7.949040683199357
log(J),-4.586945036559525
5s log(Γ) (dim 0),-7.949040683199357
5s log(J) (dim 0),-4.586945036559525
30s log(Γ) (dim 0),-7.949040683199357
30s log(J) (dim 0),-4.586945036559525
