,0
5s log(σ²) (dim 0),-5.057140929122641
5s log(σ²) (dim 1),-5.16114788292203
5s log(σ²) (dim 2),-5.181293897804086
30s log(σ²) (dim 0),-4.897114170579979
30s log(σ²) (dim 1),-4.891156599744637
30s log(σ²) (dim 2),-4.924324940416647
log(Γ),-7.051516250613483
log(J),-3.7419656722989663
5s log(Γ) (dim 0),-7.051516250613483
5s log(J) (dim 0),-3.7419656722989663
30s log(Γ) (dim 0),-7.051516250613483
30s log(J) (dim 0),-3.7419656722989663
